iter	Passed	Remaining
723	1289	491
724	1292	490
725	1295	489
726	1299	487
727	1302	486
728	1306	485
729	1309	484
730	1311	482
731	1312	480
732	1314	478
733	1316	477
734	1318	475
735	1319	473
736	1321	471
737	1323	469
738	1325	468
739	1326	466
740	1328	464
741	1330	462
742	1332	460
743	1333	458
744	1335	457
745	1337	455
746	1339	453
747	1340	451
748	1342	449
749	1343	447
750	1345	446
751	1347	444
752	1351	443
753	1353	441
754	1354	439
755	1356	437
756	1358	436
757	1360	434
758	1361	432
759	1363	430
760	1365	428
761	1367	427
762	1368	425
763	1370	423
764	1372	421
765	1373	419
766	1375	417
767	1377	415
768	1378	414
769	1380	412
770	1382	410
771	1384	408
772	1385	407
773	1387	405
774	1389	403
775	1391	401
776	1392	399
777	1394	397
778	1396	396
779	1397	394
780	1399	392
781	1401	390
782	1402	388
783	1404	386
784	1406	385
785	1408	383
786	1410	381
787	1411	379
788	1413	378
789	1415	376
790	1416	374
791	1418	372
792	1420	370
793	1421	368
794	1423	367
795	1425	365
796	1426	363
797	1428	361
798	1429	359
799	1431	357
800	1433	356
801	1434	354
802	1436	352
803	1438	350
804	1440	348
805	1441	347
806	1443	345
807	1445	343
808	1447	341
809	1448	339
810	1451	338
811	1452	336
812	1454	334
813	1456	332
814	1458	330
815	1459	329
816	1461	327
817	1463	325
818	1465	323
819	1466	321
820	1468	320
821	1470	318
822	1471	316
823	1473	314
824	1475	312
825	1476	311
826	1478	309
827	1480	307
828	1481	305
829	1483	303
830	1485	302
831	1486	300
832	1488	298
833	1489	296
834	1491	294
835	1493	292
836	1494	291
837	1496	289
838	1497	287
839	1499	285
840	1501	283
841	1502	281
842	1504	280
843	1505	278
844	1507	276
845	1509	274
846	1510	272
847	1512	271
848	1514	269
849	1515	267
850	1517	265
851	1518	263
852	1520	262
853	1522	260
854	1523	258
855	1525	256
856	1527	254
857	1528	253
858	1530	251
859	1531	249
860	1533	247
861	1535	245
862	1536	243
863	1538	242
864	1539	240
865	1541	238
866	1543	236
867	1544	234
868	1546	233
869	1547	231
870	1549	229
871	1550	227
872	1552	225
873	1554	224
874	1555	222
875	1557	220
876	1558	218
877	1560	216
878	1561	214
879	1563	213
880	1565	211
881	1566	209
882	1568	207
883	1569	205
884	1571	204
885	1572	202
886	1574	200
887	1575	198
888	1577	196
889	1579	195
890	1580	193
891	1582	191
892	1583	189
893	1585	187
894	1586	186
895	1588	184
896	1590	182
897	1591	180
898	1593	179
899	1595	177
900	1597	175
901	1598	173
902	1600	171
903	1601	170
904	1603	168
905	1604	166
906	1606	164
907	1607	162
908	1609	161
909	1611	159
910	1612	157
911	1614	155
912	1615	153
913	1617	152
914	1619	150
915	1621	148
916	1622	146
917	1624	145
918	1625	143
919	1627	141
920	1628	139
921	1630	137
922	1631	136
923	1633	134
924	1635	132
925	1636	130
926	1638	129
927	1640	127
928	1641	125
929	1643	123
930	1644	121
931	1646	120
932	1647	118
933	1649	116
934	1650	114
935	1652	112
936	1654	111
937	1655	109
938	1657	107
939	1658	105
940	1660	104
941	1661	102
942	1663	100
943	1665	98
944	1666	97
945	1668	95
946	1669	93
947	1671	91
948	1672	89
949	1674	88
950	1676	86
951	1677	84
952	1679	82
953	1680	81
954	1682	79
955	1684	77
956	1685	75
957	1687	73
958	1688	72
959	1690	70
960	1692	68
961	1693	66
962	1695	65
963	1696	63
964	1698	61
965	1699	59
966	1701	58
967	1703	56
968	1705	54
969	1706	52
970	1708	51
971	1709	49
972	1711	47
973	1712	45
974	1714	43
975	1716	42
976	1717	40
977	1719	38
978	1721	36
979	1723	35
980	1724	33
981	1726	31
982	1728	29
983	1729	28
984	1731	26
985	1733	24
986	1734	22
987	1736	21
988	1738	19
989	1739	17
990	1741	15
991	1743	14
992	1744	12
993	1746	10
994	1748	8
995	1749	7
996	1751	5
997	1753	3
998	1754	1
999	1756	0
